GoldSummary,SystemSummary
"Under existing law, the segments of postsecondary education in this state include the University of California, the California State University, the California Community Colleges, independent institutions of higher education, and private postsecondary educational institutions.
Existing law, the California Private Postsecondary Education Act of 2009, provides, among other things, for student protections and regulatory oversight of private postsecondary institutions in the state. The act is enforced by the Bureau for Private Postsecondary Education within the Department of Consumer Affairs. The act exempts specified institutions from its provisions, does not apply to private postsecondary educational institutions that do not maintain a physical presence in the state, and is repealed on January 1, 2017.
The act defines “private postsecondary educational institution” for these purposes.
This bill would authorize the Governor to enter into an interstate reciprocity agreement for purposes of oversight of postsecondary educational institutions offering postsecondary education in states in which they maintain no physical presence, as specified.
This bill would, to the extent authorized by federal law, apply the act to an accredited private entity with no physical presence in this state that offers and awards degrees to the public in this state by means of distance education for an institutional charge if the entity does not participate in a regional state authorization reciprocity agreement entered into or recognized by the state pursuant to specified law. The bill would authorize the Department of Consumer Affairs to enter into a regional state authorization reciprocity agreement with other states through a compact on behalf of this state. The compact would provide that an entity regulated in one member state would be able to provide distance education in other member states. The bill would require the bureau, before entering into a compact, to establish a process to ensure that certain educational institutions that are exempt from the act may participate in the state authorization reciprocity agreement without impacting their exempt status. The bill would require the bureau to enter into a memorandum of understanding with certain educational officials for the purpose of establishing and implementing the state authorization reciprocity agreement, as specified. The bill would authorize the bureau to establish a reasonable fee to be paid to the Department of Consumer Affairs by a participating postsecondary institution, as specified.","(Sec. 2) This bill amends the Education Code to authorize the Department of Education's Bureau for Private Postsecondary Education to enter into a regional state authorization reciprocity agreement with other states through a compact on behalf of California. The Bureau must: establish a process to ensure that educational institutions exempt from the California Private Postsecondary Act of 2009 may participate in the agreement without impacting their exempt status; and enter into a memorandum of understanding with the President of the University of California, the Chancellor of the California State University, and the presidents of the independent California colleges and universities as represented by the state association representing the largest number of those members, to ensure that students enrolled in private postsecondary educational institutions without a physical presence in this state are provided at least with a similar level of consumer protection as would be provided if the institutions were regulated by the Bureau for Private Postsecondary Education. The governor of California may enter into an interstate reciprocity agreement for oversight of postsecondary educational institutions offering postsecondary education in states in which they maintain no physical presence, provided that such agreement ensures that students enrolled in private postsecondary educational institutions without a physical presence in this state are provided at least with a similar level of consumer protection as would be provided if the institutions were regulated by the Bureau for Private Postsecondary Education."
"Existing law prohibits the use of any vacuum or suction dredge equipment by any person in any river, stream, or lake of this state without a permit issued by the Department of Fish and Wildlife. Existing law requires, before any person uses any vacuum or suction dredge equipment in any river, stream, or lake of this state, that person to submit an application for a permit for a vacuum or suction dredge to the department specifying certain information. Existing law requires the department to issue a permit, if the department determines that the use of a vacuum or suction dredge will not be deleterious to fish, upon the payment of a specified fee. Existing law designates the issuance of permits to operate vacuum or suction dredge equipment to be a project under the California Environmental Quality Act and suspends the issuance of permits and mining pursuant to a permit until the department has completed an environmental impact report for the project as ordered by the court in a specified court action. Existing law prohibits the use of any vacuum or suction dredge equipment in any river, stream, or lake of this state until the Director of Fish and Wildlife makes a prescribed certification to the Secretary of State, including certifying that new regulations fully mitigate all identified significant environmental impacts and that a fee structure is in place that will fully cover all costs to the department related to the administration of the program.
This bill would require the department to issue a permit if the department determines that the use does not cause any significant effects to fish and wildlife and would authorize the department to adjust the specified fee to an amount sufficient to cover all reasonable costs of the department in regulating suction dredging activities. This bill would prohibit the department from issuing a permit until the permit application is deemed complete, as prescribed. The bill would prohibit the permit from authorizing any activity in violation of other applicable requirements, conditions, or prohibitions governing the use of vacuum or suction dredge equipment, and would require the department, the State Water Resources Control Board, and the regional water quality control boards to make reasonable efforts to share information among the agencies regarding potential violations of requirements, conditions, or prohibitions.
Under existing law, the State Water Resources Control Board and the California regional water quality control boards prescribe waste discharge requirements in accordance with the Federal Water Pollution Control Act and the Porter-Cologne Water Quality Control Act (state act). The state act, with certain exceptions, requires a waste discharger to file certain information with the appropriate regional board and to pay an annual fee. The state act additionally requires a person, before discharging mining waste, to submit to the regional board a report on the physical and chemical characteristics of the waste that could affect its potential to cause pollution or contamination and a report that evaluates the potential of the mining waste discharge to produce acid mine drainage, the discharge or leaching of heavy metals, or the release of other hazardous substances.
This bill would, after prescribed public hearings and workshops, as specified, authorize the state board or a regional board to adopt waste discharge requirements or a waiver of waste discharge requirements that address water quality impacts of specified issues, specify certain conditions or areas where the discharge of waste or other adverse impacts on beneficial uses of the waters of the state from the use of vacuum or suction dredge equipment is prohibited, or prohibit particular use of, or methods of using, vacuum or suction dredge equipment, or any portion thereof, for the extraction of minerals, as specified.
The bill would specify that the use of vacuum or suction dredge equipment is defined as the use of a mechanized or motorized system for removing or assisting in the removal of, or the processing of, material from the bed, bank, or channel of a river, stream, or lake in order to recover minerals.","Declares that the people of California do enact regarding whether the use of vacuum or dredge equipment in a river, stream, or lake of this state is prohibited, except as authorized under a permit issued by the Department of Fish and Wildlife to that person by the Legislature in compliance with regulations adopted pursuant to the Fish and Game Code with respect to such use. Amends that Code, as amended by the California Water Resources Control Board Act of 1872, with respect to the use of vacuum or dredge equipment in a river, stream, or lake of this state."
"Existing law vests in the State Department of Developmental Services jurisdiction over state hospitals referred to as developmental centers for the provision of residential care to individuals with developmental disabilities. Existing law requires the department to comply with procedural requirements when closing a developmental center, including submitting a detailed plan to the Legislature and holding at least one public hearing. Under existing law, the department allocates funds to private nonprofit entities known as regional centers, which are required to provide, or arrange for the provision of, services and supports for persons with developmental disabilities.
This bill would require the department to submit a plan to the Legislature by April 1, 2016, to close the Sonoma Developmental Center and the Fairview Developmental Center. The bill would require the plan to meet existing requirements for closing a developmental center and to additionally include, specified components, including a closure plan that will result in each of the 2 developmental centers closing no later than December 31, 2018, except as specified. The bill would also require the plan to include a plan for using the properties occupied by the 2 developmental centers, as specified, and would require the department to work with the Department of General Services to estimate potential revenues that may be generated from different options for use of the properties.
The bill would state the intent of the Legislature that the department minimize the expenditure of state funds related to any developmental center residential units that are decertified for failure to meet federal or state health and safety laws or regulations or that receive notification from a state or federal regulator that they are at risk of decertification for failure to meet those laws or regulations, and that funds previously used to operate developmental centers instead be shifted to support community-based services for individuals with developmental disabilities.","Declares the intent of the Legislature that: (1) California recommits itself to vibrant and sustainable community services that will maximize opportunities for disabled individuals to thrive in their own neighborhoods; and (2) it is essential that California recommits itself to close additional developmental centers and shift the funds now being spent ineffectively for developmental center operations to shore up the community services system instead. Amends the Welfare and Institutions Code to require the Department of Developmental Services to submit a plan to the Legislature by April 1, 2016, for the closure of the Sonoma and Lanterman Developmental Centers by December 31, 2019. Requires the plan to include: a closure plan that will provide a detailed rationale for closing the two centers no later than December 31, 2019; a plan for each of the two centers to facilitate shifting funds from developmental center operations to community services for individuals with developmental disabilities; and a plan for using the properties occupied by the two centers to estimate potential revenues that may be limited to different options for use of the properties."
"Existing law requires the Department of Human Resources to administer the Limited Examination and Appointment Program (LEAP) to provide an alternative to the traditional civil service examination and appointment process to facilitate the hiring of persons with disabilities in the state civil services. Existing law requires the department to conduct competitive examinations to determine eligibility for appointment under LEAP and to refer the names of eligible applicants who meet the minimum qualifications of a job classification to the appointing powers for examination appointments, as specified.
This bill would permit a person with a developmental disability to either complete a written examination or readiness evaluation or an internship, as specified, to qualify for service under LEAP. The bill would require that the use of an internship as a competitive examination in this context consist of a successful completion of an internship with a state agency of not less than 512 hours in duration and a specified certification by the agency. The bill would require the department to refer the names of eligible applicants who successfully complete the internship to the appointing powers for examination appointments. The bill would require the department to create that internship program in coordination with the State Department of Developmental Services and the Department of Rehabilitation, as specified. The bill would require a state agency that provides the internship or appoints a person with a developmental disability to a position under LEAP to allow that person to receive on-the-job support. The bill would authorize an agency to finance the internship or position with personnel funds or other available funds assigned to a vacant or unfilled position, as specified, but would provide that on-the-job support services are not the financial or programmatic responsibility of any state agency engaged in establishing the LEAP internship process. The bill would specify that LEAP is not a mandate on any state agency employer or job applicant except to the extent specifically directed by the State Personnel Board. The bill would repeal these provisions on January 1, 2021.","This bill requires the State Department of Developmental Services, consistent with board rules, to be responsible for the administration of the Limited Examination and Appointment Program. This program shall provide an alternative to the traditional civil service examination and appointment process to facilitate the hiring of persons with disabilities in the state civil service."
"Existing law, the After School Education and Safety Program Act of 2002, enacted by initiative statute, establishes the After School Education and Safety Program to serve pupils in kindergarten and grades 1 to 9, inclusive, at participating public elementary, middle, junior high, and charter schools. The act provides that each school establishing a program pursuant to the act is eligible to receive a renewable 3-year grant for before or after school programs, as provided, and a grant for operating a program beyond 180 regular schooldays or during summer, weekend, intersession, or vacation periods, as provided. The act specifies the maximum grant amount and related amounts for each of these grants, provides a formula for determining an amount to be continuously appropriated from the General Fund to the State Department of Education for purposes of the program, and authorizes the Legislature to appropriate additional funds for purposes of the program.
Existing law requires applicants for grants to, among other things, state the targeted number of pupils to be served by the program, and requires the department, for any school in the program that is under its targeted attendance level by more than 15% in each of 2 consecutive years, to adjust the grant level, and, in any year after the initial grant year, if a school’s actual attendance level falls below 75% of the targeted attendance level, to review the program and adjust its grant level as appropriate.
This bill would, commencing January 1, 2016, and until July 1, 2017, authorize a program to suspend its operation for up to 5 schooldays in a fiscal year
and, if this results in
and would prohibit
an adjustment of the grant provided to the participating
school, would authorize the department to approve a request from the program grantee for an exemption from this adjustment.
school as a result of a suspension.
The bill would require that cost savings that result from a suspension be used solely by the entity that is providing direct services to pupils. The bill would also authorize the program to determine the specific grades to serve in accordance with local needs.
Existing law expresses the intent of the Legislature that, for the before and after school components of the program, participating middle school and junior high school pupils should attend a minimum number of hours, days, or both, as specified, while elementary school pupils should participate in the full day of these components of the program for each day in which they participate, except as provided.
This bill would instead express the intent of the Legislature that each attending pupil participate in the full day of the before or after school components of the program for each day in which the pupil attends the program, except as provided.
The After School Education and Safety Program Act of 2002 authorizes the Legislature to amend certain of its provisions to further its purposes by majority vote of each house.
This bill would set forth a legislative finding and declaration that this bill furthers the purposes of that act.","This bill amends the Education Code, with respect to before and after school programs, to require that the after-school programs be established at participating public elementary, middle, junior high, and charter schools for pupils in kindergarten through grade nine. Under current law, such programs are only required to serve pupils in kindergarten through grade nine. The after-school programs must consist of both: (1) educational and literacy elements in which tutoring or homework assistance is provided in language arts, mathematics, history and social science, computer training, or science; and (2) educational enrichment elements that may include, but need not be limited to, fine arts, career technical education, recreation, physical fitness, and prevention activities. The majority of the time spent by a pupil who is in kindergarten or any of grades one to nine shall be at a site that complies with this Act. Applicants shall agree that snacks made available through a program shall conform to federal nutrition standards and that meals made available through such a program shall conform to the nutrition standards of the Department of Agriculture's Child and Adult Food Program."
"Existing law generally prohibits the total gross weight in pounds imposed on the highway by a group of 2 or more consecutive axles of a vehicle from exceeding a specified weight, depending on the distance in feet between the extremes of a group of 2 or more consecutive axles, and the number of axles.
This bill would make technical, nonsubstantive changes to those provisions.","Amends the Vehicle Code to reduce the total gross weight in pounds imposed on California highways by any group of two or more consecutive axles to specified amounts for specified distances from the extremes of: (1) distance in feet between the extremes of any group of two or more consecutive axles 2 axles 3 axles 4 axles 6 axles; (2) distance in feet between the extremes of any group of two or more consecutive axles 8 axles; (9) distance in feet between the extremes of any group of two or more consecutive axles 10 axles; and (11) distance in feet between the extremes of any group of two or more consecutive axles 12 axles. Allows, with certain exceptions, two consecutive sets of tandem axles to carry a gross weight of 34,000 pounds each if the overall distance between the first and last axles of the consecutive sets of tandem axles is 36 feet or more."
"Existing law provides that a minor who violates a criminal law may be adjudged to be a ward of the court. Existing law generally requires that the minor pay a restitution fine to be deposited into the Restitution Fund and restitution to any victim of his or her conduct. Existing law defines a victim to include the immediate surviving family of the actual victim and governmental entities, as specified.
This bill would expand the definition of victim to include a corporation, estate, or other legal or commercial entity when that entity is a direct victim of a crime. The bill would also expand the definition of victim to include a person who has sustained economic loss as a result of a crime and who satisfies specified conditions.",Amends the Welfare and Institutions Code to require a court to consider imposing a restitution fine upon the minor who incurs an economic loss as a result of committing one or more felony offenses or misdemeanor offenses. Directs that such fine be deposited into the Restitution Fund.
"(1) Existing law requires the lessor of a building intended for human occupation to repair dilapidations, as specified, rendering it untenantable. Existing law permits tenants to repair dilapidations, under specified circumstances.
This bill would provide that a lessor is not obligated to repair a dilapidation relating to mold, as specified, until he or she has notice of it or if the tenant is in violation of specified affirmative obligations. The bill would authorize a landlord to enter a dwelling to repair a dilapidation relating to mold, under specified conditions.
(2) The State Housing Law, which is administered by the Department of Housing and Community Development, prescribes standards for buildings used for human habitation and establishes definitions for this purpose. The law provides that a building, or a portion of it, in which certain conditions are found to exist, such as a lack of sanitation, as specified, is substandard. The law provides that a violation of these provisions is a misdemeanor.
This bill would specify that visible mold growth, excepting mold that is minor and found on surfaces that can accumulate moisture as part of their proper and intended use, is a type of inadequate sanitation and therefore a substandard condition. The bill would define mold as microscopic organisms or fungi that can grow in damp conditions in the interior of a building. By expanding the definition of a crime, this bill would impose a state-mandated local program.
(3) The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","(This measure has not been amended since it was reported to the House on March 14, 2003. The summary of that version is repeated here.)Amends the Health and Safety Code (the Code) to declare that an obligation shall not arise under specified provisions of such Code to repair a dilapidation relating to the presence of mold until the lessor has notice of the dilapidation or if the tenant is in violation of such provisions. Permits: (1) a landlord to enter a dwelling unit to repair a dilapidation relating to the presence of mold pursuant to such provisions provided the landlord complies with provisions of the Code concerning fire protection and prevention services; and (2) an approved testing or listing agency to report annually on the production of listed products, equipment, and installations tested by an approved testing agency and that maintains a periodic inspection program on current production of listed products, equipment, and installations, and that, at least annually, makes available a published report on all conditions tested by this code as determined by a health officer or a code enforcement officer.Deems as a substandard building: (1) certain conditions relating to the presence of mold; and (2) failure to comply with certain building standards, including adequate heating, ventilation, and electrical lighting."
"Existing law defines specified terms for purposes of the California Residential Mortgage Lending Act, which generally prohibits a person from engaging in the business of making residential mortgage loans or servicing residential mortgage loans without first obtaining a license from the Commissioner of Business Oversight in accordance with the act. Existing law defines a lender as a person who is an approved lender for the Federal Housing Administration, the Veterans Administration, the Farmers Home Administration, the Government National Mortgage Association, the Federal National Mortgage Association, or the Federal Home Loan Mortgage Corporation, who directly makes residential mortgage loans, and who makes the credit decision in the loan transactions. Existing law requires a licensee issued a license for purposes of making or servicing residential mortgage loans to continuously maintain a minimum tangible net worth of $250,000.
This bill would specify that the term “lender” includes a person, other than a natural person, and a natural person who is also an independent contractor, who engages in the activities of a loan processor or underwriter for residential mortgage loans, but does not solicit loan applicants, originate mortgage loans, or fund mortgage loans, as specified. The bill would authorize the commissioner to require a licensee who is engaged in the processing or underwriting of residential mortgage loans to continuously maintain a minimum tangible net worth in an amount that is greater than $250,000, but that does not exceed the net worth required of an approved lender under the Federal Housing Administration.","(Sec. 1) This bill amends the Financial Code of 1934 to declare that a person shall not be deemed to control a financial institution solely by reason of his or her status as an officer, director, or licensee of the institution. Presumes control if a person, directly or indirectly, owns, controls, or holds ten percent or more of the voting power of the institution."
"Existing law exempts from civil liability any person who, in good faith and not for compensation, renders emergency care or treatment by the use of an automated external defibrillator (AED) at the scene of an emergency, except in the case of personal injury or wrongful death that results from the gross negligence or willful or wanton misconduct of the person who renders emergency care or treatment. Existing law also exempts from civil liability a person or entity that acquires an AED for emergency use, a physician who is involved with the placement of the AED, and any person or entity responsible for the site where the AED is located if specified conditions are met, including maintenance and regular testing of the AED and having a written plan that describes the procedures to be followed in case of an emergency that may involve the use of the AED. Under existing law, those specified conditions also require, when an AED is placed in a public or private K–12 school, the school principal to, among other things, ensure that the school administrators and staff annually receive a brochure, approved as to content and style by the American Heart Association or the American Red Cross, that describes the proper use of an AED, to ensure that similar information is posted next to every AED, and to designate the trained employees who are available to respond to an emergency that may involve the use of an AED during normal operating hours.
This bill would provide an exemption from civil liability for a physician and surgeon or other health care professional that is involved in the selection, placement, or installation of an AED. The bill would require a person or entity, other than a health facility as defined, that acquires an AED to, among other things, comply with specified regulations for the placement of the device and ensure that the AED is maintained and tested as specified. The bill would require a building owner to annually notify the tenants as to the location of the AED units and provide information to tenants about who they can contact if they want to voluntarily take AED or CPR training, to offer a demonstration to at least one person associated with the building as to the use of an AED in an emergency, and post instructions for the use of the AED. The bill would also specify that a medical director or physician and surgeon is not required to be involved in the acquisition or placement of an AED. The bill would make related changes.
This bill would revise the public or private K–12 school provisions described above by instead requiring, when an AED is placed in a public or private K–12 school, the school principal to ensure that the school administrators and staff annually receive information that describes sudden cardiac arrest, the school’s emergency response plan, and the proper use of an AED, by instead requiring the school principal to ensure that instructions, in no less than 14-point type, on how to use the AED are posted next to every AED, and by deleting the requirement that the school principal designate the trained employees who are available to respond to an emergency that may involve the use of an AED during normal operating hours.","(Sec. 2) Requires a person or entity that acquires an automated external defibrillator (AED) to: (1) comply with all regulations governing the placement of an AED; (2) notify an agent of the local EMS agency of the existence, location, and type of an AED acquired; (3) ensure that the AED is maintained and tested according to the operation and maintenance guidelines set forth by the manufacturer; (4) ensure that an inspection is made of all AEDs on the premises at least every 90 days for potential issues related to operability of the device, including a blinking light or other obvious defect that may suggest tampering or that another problem has arisen with its functionality; and (5) ensure that records of AED maintenance and testing are maintained. Directs a building owner, when an AED is placed in a building, to: (1) notify the tenants as to the location of AED units and provide information to them about who they can contact if they want to voluntarily take AED or CPR training; (2) notify school employees as to the location of all AED units on the campus; and (3) post instructions, in no less than 14-point type, on how to use an AED. Requires a medical director or other physician and surgeon not required to be involved in the acquisition or placement of an AED to ensure that school administrators"
"Existing federal law provides for the allocation of federal funds through the federal Temporary Assistance for Needy Families (TANF) block grant program to eligible states. Existing law provides for the California Work Opportunity and Responsibility to Kids (CalWORKs) program under which, through a combination of state and county funds and federal funds received through the TANF program, each county provides cash assistance and other benefits to qualified low-income families.
This bill would require the State Department of Social Services,
in consultation with the County Welfare Directors Association of California,
no later than July 1,
2016,
2017,
to design and implement a 5-year pilot project under which monetary grants are provided to organizations operating programs that assist individuals receiving CalWORKs benefits achieve economic independence. The bill would require the department, in developing the pilot project, among other things, to develop a competitive review process for all grant proposals submitted,
to develop eligibility requirements for organizations seeking a grant,
and to develop an ongoing evaluation of the effectiveness of an organization receiving grant funding in teaching its program participants the skills necessary to achieve economic independence. The bill would authorize the department to enter into an agreement with an academic institution or other entity with sufficient expertise for the purpose of creating, performing, or both creating and performing the evaluation. The bill would authorize an organization receiving a grant to utilize the funds in any reasonable manner, as long as the funds are expended in furtherance of the organization’s program or other requirements established by the department.
The bill would require organizations receiving grant funding to contact the county welfare department upon being notified of the grant and to make a good faith effort to coordinate their programs with CalWORKs requirements.
The bill would require the department, or the academic institution or other entity the department contracted with, to send a report evaluating the effectiveness of the programs funded by the grants to the relevant policy and fiscal committees of the Legislature by December 31,
2020.
2021.
The bill would appropriate $50,000,000 from the General Fund for the purpose of funding these provisions. The bill would make these provisions inoperative on July 1,
2021,
2022,
and would repeal them on January 1,
2022.
2023.","This bill requires the State Department of Social Services, in consultation with the County Welfare Directors Association of California, to design and implement a five-year pilot project under which monetary grants are provided to organizations operating programs that assist individuals receiving CalWORKs benefits (Temporary Assistance for Needy Families [TANF] benefits) to achieve economic independence. In developing the pilot project, Social Services must: develop a competitive review process for all grant proposals submitted and a methodology to determine grant amounts; develop eligibility requirements for organizations seeking a grant; develop an ongoing evaluation of the effectiveness of an organization receiving grant funding in teaching program participants the skills necessary to achieve economic independence; develop a periodic progress report for the duration of the pilot project; and enter into an agreement with an academic institution or other entity with sufficient expertise to create, perform, or both create and perform the evaluation."
"(1) Existing law requires the Department of Resources Recycling and Recovery to develop a comprehensive market development plan that will stimulate market demand in the state for postconsumer waste material and secondary waste material generated in the state. Existing law authorizes a local governing body, as defined, to propose eligible property within its jurisdiction as a recycling market development zone, as defined, and authorizes the department to designate recycling market development zones.
Existing law creates the Recycling Market Development Revolving Loan Subaccount and continuously appropriates the funds deposited in the subaccount to the department for making loans to local governing bodies, private businesses, and nonprofit entities within the recycling market development zones and in other specified areas for purposes of the Recycling Market Development Revolving Loan Program. Existing law makes these provisions inoperative on July 1, 2021.
This bill would authorize the department to expend moneys in the subaccount to make payments to local governing bodies within recycling market development zones for services related to the promotion of the zone. By expanding the purposes of a continuously appropriated fund, the bill would make an appropriation.
(2) The California Integrated Waste Management Act of 1989 requires a manufacturer of architectural paint or the designated stewardship organization to submit to the Department of Resources Recycling and Recovery an architectural paint stewardship plan to develop and implement a recovery program to manage the end of life of postconsumer architectural paint. A manufacturer is required to submit a report to the department by September 1 of each year, describing its paint recovery efforts.
This bill would change the date when the report is due to November 1 of each year.","This bill amends the Public Resources Code, with respect to the Recycling Market Development Revolving Loan Program of the Department of Commerce, to establish a new Recycling Market Development Revolving Loan Subaccount within the Department of Commerce to be used to make loans, through the program, to: local governing bodies, private businesses, and nonprofit entities within recycling market development zones; local governing bodies within a recycling market zone for services related to the promotion of such zones; and local governing bodies within a recycling market zone for training, outreach, development of written promotional materials, and technical analyses of feedstock availability. The bill prohibits the Department from funding a loan until it determines that the loan applicant has obtained all significant applicable federal, state, and local permits. The Department shall establish a schedule of fees or points for loans that are entered into by the Department to fund the annual Department administration costs."
"Existing
law
law, the State Civil Service Act,
establishes standards for the use of personal services contracts by state agencies.
Existing law
The act
provides that personal services contracting is permissible to achieve cost savings when certain conditions are met, including, but not limited to, that the contracting agency demonstrates that the proposed contract will result in actual overall cost savings to the state and that the contract will not cause the displacement of civil service employees.
The act also
authorizes state agencies to enter into personal services contracts for functions exempted from civil service. The California Constitution excludes the officers and employees of the California State University from the state civil service.
This bill would make these provisions for the use of personal services contracts applicable to California State Universities.
Existing law authorizes the trustees of the California State University to enter into agreements with any public or private agency, person, or institution for the furnishing of services, facilities, goods, supplies, or equipment, among others, and requires the trustees to prescribe policies and procedures for the acquisition of those services, facilities, materials, goods, supplies, or equipment.
This bill would establish standards for the use of personal services contracts by the trustees of the California State University similar to those in the State Civil Service Act.","Amends the Education Code to establish standards for the use of personal services contracts by the trustees of the California State University. <n>Authorizes the trustees to enter into personal services contracts to achieve cost savings when specified conditions are met, including that: (1) the trustees clearly demonstrate that the proposed contract will result in actual overall cost savings to the California State University; (2) proposals to contract out work shall not be approved solely on the basis that savings will result from lower contractor pay rates or benefits; (3) the contract does not cause the displacement of university employees; (4) the contract is with a firm; (5) the contract does not adversely affect the university's affirmative action efforts; (6) the amount of savings shall be large enough to ensure that they will not be eliminated by private sector and university cost fluctuations that could normally be expected during the contracting period; (7) the contract is awarded through a publicized, competitive bidding process; (8) the potential for future economic risk to the university from potential contractor rate increases is minimal; and (9) the contract is with a firm. <n>Permits the trustees to enter into such contracts when specified conditions are met, including that: (1) the contract is for a new university function and the Legislature has specifically mandated or authorized the performance of the work by independent contractors; (2) the"
"The Pharmacy Law governs the practice of pharmacy in this state, including the permissible duties of licensed pharmacists. The Pharmacy Law authorizes a pharmacist filling a prescription order for a drug product prescribed by its trade or brand name to select another drug product with the same active chemical ingredients of the same strength, quantity, and dosage form, and of the same generic drug name as determined, as specified, of those drug products having the same active chemical ingredients. A knowing violation of the Pharmacy Law is a misdemeanor.
This bill, except as specified, would authorize a pharmacist to select an alternative biological product when filling a prescription order for a prescribed biological product if the alternative biological product is interchangeable, as defined, and the prescriber does not personally indicate in a prescribed manner that a substitution is not to be made. The bill would require a pharmacist or a designee, within a specified period following the dispensing of a biological product, to make an electronically accessible entry in a described entry system of the specific biological product provided to the patient. The bill would provide an alternate means of communicating the name of the biological product dispensed to the prescriber if the pharmacy does not have access to one or more of the described entry systems. The bill would also require that the substitution of a biological product be communicated to the patient. The bill would prohibit a pharmacist from selecting an alternative biological product that meets the requirements of these provisions unless the cost to the patient of the alternative biological product selected is the same or less than the cost of the prescribed biological product. Because a knowing violation of these requirements would be a misdemeanor, the bill would create new crimes, thereby imposing a state-mandated local program.
The bill would also require the California State Board of Pharmacy to maintain on its public Internet Web site a link to the current list, if available, of biological products determined by the federal Food and Drug Administration to be interchangeable.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","(This measure has not been amended since it was passed by the Senate on December 20, 2010. The summary of that version is repeated here.)<n><n>Amends the Business and Professions Code of California to allow a pharmacist filling a prescription for a prescribed biological product to select an alternative biological product only if all of the following is interoperable with the federal Food and Drug Administration (FDA): (1) the prescriber does not substitute or words of similar meaning in the prescription as transmitted by electronic data; (2) there is no interchangeable biological product approved by the FDA for the product prescribed; and (3) a prescription is not changed from the product dispensed on the prior filling of the prescription.<n><n>Requires a dispensing pharmacist or the pharmacist's designee to make an entry of the specific biological product provided to the patient, including the name of the biological product and the manufacturer, through an electronic medical records system, an electronic prescribing technology, a pharmacy benefit management system, or another electronic records system presumed to provide notice to the prescriber.<n><n>Presumes to provide such notice that entry into such systems shall be conveyed by making an entry that can be electronically accessed by the prescriber through one or more of the following electronic records systems: (1) an electronic medical records system; (2) an electronic prescribing technology;"
"Existing law requires the State Department of Public Health to license and regulate health facilities, defined to mean a facility, place, or building that is organized, maintained, and operated for the diagnosis, care, prevention, and treatment of human illness, as specified. Existing law requires hospitals, among other things, to have a written discharge planning policy and process that requires appropriate arrangements to be made for posthospital care. A violation of those provisions is a crime.
This bill would require a hospital to take specified actions relating to family caregivers, including, among others, notifying the family caregiver of the patient’s discharge or transfer to another facility and providing information and counseling regarding the posthospital care needs of the patient, if the patient has consented to the disclosure of this information. By expanding the scope of a crime, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","Requires each hospital to: (1) have a written discharge planning policy and process; (2) provide each inpatient patient with an opportunity to identify one family caregiver who may assist in posthospital care; (3) provide the patient or patient's legal guardian with an opportunity to designate a caregiver at the discretion of the attending physician, following discharge or recovery of consciousness or capacity; and (4) provide the patient or patient's legal guardian with an opportunity to designate a caregiver at the discretion of the attending physician, following discharge or recovery of consciousness or capacity. Requires the policy to require that the patient's designated family caregiver be notified of the patients discharge or transfer to another facility as soon as possible and, in any event, upon issuance of a discharge order by the patients attending physician. Provides that the lack of contact shall not interfere with, delay, or otherwise affect the medical care provided to the patient or an appropriate discharge of the patient. Makes the right to information regarding continuing health care requirements following discharge applicable to the person who has legal responsibility to make decisions regarding medical care on behalf of the patient, if the patient is unable to make such decisions. Directs the hospital to provide an opportunity for the patient and his or her designated family caregiver to engage in the discharge planning process."
